"id","name","country_id","l10n_ve_type","name@es"
"tax_group_iva_0","VAT EXEMPT","base.ve","VAT","IVA EXENTO"
"tax_group_iva_8","VAT 8%","base.ve","VAT","IVA 8%"
"tax_group_iva_16","VAT 16%","base.ve","VAT","IVA 16%"
"tax_group_iva_31","VAT 31%","base.ve","VAT","IVA 31%"
