id,code,name,account_type,reconcile
acc_aporte_ivss_y_pie,6.1.1.00.000,APORTE IVSS Y PIE,expense,False
acc_aporte_f_a_o_v,6.1.2.00.000,APORTE F.A.O.V.,expense,False
acc_aporte_inces,6.1.3.00.000,APORTE INCES,expense,False
acc_agua,6.2.1.00.000,AGUA,expense,False
acc_electricidad,6.2.2.00.000,ELECTRICIDAD,expense,False
acc_aseo_urbano,6.2.3.00.000,ASEO URBANO,expense,False
acc_internet,6.2.4.00.000,INTERNET,expense,False
acc_telefonia,6.2.5.00.000,TELEFONIA,expense,False
acc_depreciacion_edificio,6.3.1.00.000,DEPRECIACION EDIFICIO,expense_depreciation,False
acc_depreciacion_maquinaria,6.3.2.00.000,DEPRECIACION MAQUINARIA,expense_depreciation,False
acc_depreciacion_vehiculo,6.3.3.00.000,DEPRECIACION VEHICULO,expense_depreciation,False
acc_depreciacion_mobiliario,6.3.4.00.000,DEPRECIACION MOBILIARIO,expense_depreciation,False
acc_depreciacion_equipos,6.3.5.00.000,DEPRECIACION EQUIPOS,expense_depreciation,False
acc_repar_y_mtto_mob_y_equipos,6.4.1.00.000,REPAR. Y MTTO. MOB Y EQUIPOS.,expense,False
acc_reparacion_y_mantenimiento_de_vehiculo,6.4.2.00.000,REPARACION Y MANTENIMIENTO DE VEHICULO,expense,False
acc_reparaciones_a_edificacion,6.4.2.10.000,REPARACIONES A EDIFICACION,expense,False
acc_reparaciones_a_vehiculos,6.4.2.20.000,REPARACIONES A VEHICULOS,expense,False
acc_reparaciones_maquinarias,6.4.2.30.000,REPARACIONES MAQUINARIAS,expense,False
acc_gasto_de_vigilancia_privada,6.5.0.00.000,GASTO DE VIGILANCIA PRIVADA,expense,False
acc_fletes_en_ventas,6.6.0.00.000,FLETES EN VENTAS,expense,False
acc_intereses_mora,6.7.1.00.000,INTERESES MORA,expense,False
acc_intereses_bancario,6.7.2.00.000,INTERESES BANCARIO,expense,False
acc_intereses_sobre_prestaciones_sociales,6.7.3.00.000,INTERESES SOBRE PRESTACIONES SOCIALES,expense,False
acc_comisiones_bancarias,6.8.0.00.000,COMISIONES BANCARIAS,expense,False
acc_sueldos_y_salarios,6.9.0.00.000,SUELDOS Y SALARIOS,expense,False
acc_sueldo_y_salario_personal_administrativo,6.9.1.00.000,SUELDO Y SALARIO PERSONAL ADMINISTRATIVO,expense,False
acc_sueldo_y_salario_personal_obrero,6.9.2.00.000,SUELDO Y SALARIO PERSONAL OBRERO,expense,False
acc_sueldos_y_salarios_personal_directivos,6.9.3.00.000,SUELDOS Y SALARIOS PERSONAL DIRECTIVOS,expense,False
acc_otros_egresos_no_atribuibles,7.1.0.00.000,OTROS EGRESOS NO ATRIBUIBLES,expense,False
